mail	birthdate	registration	blood_group	company	username	user_id	ssn	residence	name	job	current_location	station_ID
yamamotojun@gmail.com	1968-06-14	2025/04/29	O-	佐藤電気有限会社	yasuhiroishikawa	251	888-31-3723		福田 美加子	検察官	(Decimal('-25.056008'), Decimal('-152.938243'))	730
leachcurtis@yahoo.com		02/19/2019, 00:00:00	B+	Welch Inc	millernicole	1521	115-83-6220		April Reynolds	Psychologist, prison and probation services	(Decimal('-15.2779845'), Decimal('-171.609620'))	129
isadora70@yahoo.com.br	1925-03-16	2020-10-19	B+	Silveira	otto42	1540	03824795647		Maria Eduarda da Costa		(Decimal('-57.914784'), Decimal('105.326816'))	499
sbrown@gmail.com	1976-12-05	06/11/2022, 00:00:00	O+	Mcdaniel, Durham and Walker	alexisturner	1126	003-42-6118		Cassandra Wright	Comptroller		480
thomasholmes@hotmail.com	1948-03-23	02/15/2021, 00:00:00	A+	Bullock-Smith	stevensonelizabeth	1878	251-86-9524		Laura Newman		(Decimal('-78.3615125'), Decimal('53.521705'))	589
boucseinbozena@yahoo.de		2022/06/03	O+	Trubin AG	hasso49	60	371-11-1327		Johanna Johann		(Decimal('27.794734'), Decimal('136.819777'))	157
apostolosmosemann@gmail.com		10/30/2019, 00:00:00	B-	Baum GmbH	beckmannmathias	1659	912-96-2774		Imelda Hartung		(Decimal('58.2193935'), Decimal('47.082435'))	585
karenmoss@gmail.com		2021-04-19	AB+	Shannon, Marshall and Lee	nwilson	422	027-05-3464		Kathleen Hendricks	Geoscientist	(Decimal('-32.4220555'), Decimal('-31.184011'))	46
mikakohasegawa@yahoo.com	1929-03-21	2018-11-14	O+	株式会社山本水産	suzukitaichi	182	673-11-0282		松本 智也		(Decimal('-55.8668475'), Decimal('-53.054196'))	474
nortonjimmy@hotmail.com		11/04/2020, 00:00:00	AB-	Page LLC	katrinastevenson	411	494-85-9715		Cheryl Savage	Quantity surveyor	(Decimal('-20.955903'), Decimal('83.999174'))	660
vincentmason@yahoo.com	1980-11-15	2025-03-08	B-	Freeman-Santana	manuel87	1561	432-73-3532		Tiffany Brown		(Decimal('34.757746'), Decimal('-166.470945'))	19
jan37@yahoo.de		12/11/2024, 00:00:00	O-	Winkler	vgerlach	1412	662-03-2633		Cäcilia Klemt	Florist	(Decimal('-3.2002815'), Decimal('-14.903776'))	802
ryoheimaeda@yahoo.com	1921-02-05	18 Aug 2021	O+	加藤運輸株式会社	ryosuke62	1839	289-70-7715		中村 治		(Decimal('12.9340595'), Decimal('102.650855'))	163
fermicarla@tele2.it		2020/01/08	A-	Babbo Group	follierosilvestro	945	SCMGVN20M12B175H		Piergiuseppe Flaiano		(Decimal('-16.445012'), Decimal('77.538394'))	167
migliacciofilippo@hotmail.com	2009-11-01	25 Nov 2024	B+	Villadicani, Aulenti e Comencini s.r.l.	fulvio85	1599	BLZDMA48M71L669U		Rocco Greco		(Decimal('70.315657'), Decimal('168.032044'))	767
xsouza@gmail.com		07/21/2025, 00:00:00	O+	Aparecida - ME	valentinapastor	1558	68127543071		Srta. Laura Ferreira		(Decimal('24.059768'), Decimal('-94.018357'))	101
gaetano47@vodafone.it	1953-02-21	03/14/2022, 00:00:00	A+	Jilani, Combi e Ortese Group	beppecilibrasi	1771	CMPJCP19D53D864K		Severino Faugno		(Decimal('61.148991'), Decimal('48.512416'))	121
doloresleonardi@fastwebnet.it		2020-05-12	AB+	Galuppi-Franzese Group	tostogiovanni	136	RTCMDA75S58B357J		Milo Guglielmi	Landscape architect	(Decimal('68.998491'), Decimal('-57.230774'))	683
cstiffel@gmail.com	2019-07-01	2023-01-15	B+	Mülichen	haenelkaethe	742	655-42-9695		Uli Neuschäfer		(Decimal('17.4491305'), Decimal('-132.603397'))	777
lettieremariana@gmail.com		2021-05-24	O+	Offredi e figli	niggligaspare	427	SBBMME53M14L980C		Marina Carnera		(Decimal('24.1672935'), Decimal('-152.106802'))	635
liammonteiro@hotmail.com	1993-04-23	18 Mar 2023	B-	Abreu Novaes e Filhos	igorcostela	1647	30275491897		Gustavo Correia		(Decimal('89.776918'), Decimal('106.845136'))	657
apanicucci@yahoo.com	1930-02-01	01/28/2025, 00:00:00	O+	Pennetta, Trezzini e Balotelli s.r.l.	zgottardi	247	CRCNNS36C17M094P		Nicoletta Bonatti	Solicitor	(Decimal('-14.5345855'), Decimal('107.356372'))	50
ymiura@yahoo.com	1923-06-07	2021-03-11	AB-	株式会社斉藤水産	yyoshida	775	167-39-6009		山田 知実	ウェディングプランナー	(Decimal('-59.510238'), Decimal('-67.600046'))	577
ntorres@gmail.com	1956-09-21	2021/01/16	A-	Thomas, Glover and Crosby	kelly98	2038	111-94-3943		William Davis	Licensed conveyancer	(Decimal('54.311813'), Decimal('10.114571'))	819
theo25@ig.com.br	1968-11-28	10 May 2024	A+	Brito Ltda.	araujodavi-luiz	1683	28715463044		Elisa Costela	Ambulante	(Decimal('-28.019144'), Decimal('-8.207240'))	594
ctakahashi@yahoo.com		14 Jan 2020	O+	中島情報株式会社	yshimizu	1044	695-54-4673		林 健一		(Decimal('-0.046732'), Decimal('-78.192149'))	509
ferdinando96@libero.it	1966-02-11	2025/04/05	AB+	Mazzanti, Righi e Deledda Group	catalanosalvatore	1696	MNTDRA59P67C885Q		Dott. Mercedes Visintini	Horticultural therapist	(Decimal('69.645648'), Decimal('152.917296'))	4
rsiqueira@hotmail.com		2020/03/28	A-	Andrade - ME	ravi56	1064	56798014348		Samuel Martins		(Decimal('31.150419'), Decimal('-108.156301'))	226
kpergande@yahoo.de	1983-03-15	2023-03-05	O-	Schmiedt Röhricht e.V.	stumpfmilos	778	619-98-1037		Kira Haering-Jäkel	Friseur	(Decimal('13.748596'), Decimal('84.836076'))	313
benjamin83@yahoo.com		03 Aug 2025	B-	Ellis, Fernandez and Adams	yhall	1180	096-10-0601		Patricia Zavala		(Decimal('51.949137'), Decimal('-41.560050'))	18
vpellico@tim.it	1911-12-27	12/08/2019, 00:00:00	B-	Bajamonti-Mancini e figli	zanazzoalfio	767	VNDGSP04B21F675G		Umberto Camanni-Mascheroni	Teacher, primary school	(Decimal('61.4417445'), Decimal('-79.582738'))	174
stolzekatherina@yahoo.de	2017-04-08	13 Feb 2020	B+	Jacobi Jäckel Christoph GmbH	gunda07	209	767-76-3397		Lissy Wernecke	Arzt	(Decimal('-79.5004325'), Decimal('-147.946272'))	338
pgoodman@gmail.com	1979-08-18	2022/11/25	A+	Watson-Scott	reginald83	186	250-09-8558		Jeremy Wilkinson			353
emily64@gmail.com	1931-10-04	2018/11/17	O-	Kidd-Miller	matthew35	1681	086-54-2989		April Ortiz	Lighting technician, broadcasting/film/video		628
petrucelliadriano@tele2.it	1991-05-10	15 Nov 2019	AB+	Metella-Bompiani e figli	bnibali	1390	PNETLL43A46I441I		Simonetta Tasso	Therapist, horticultural	(Decimal('-57.5694235'), Decimal('-164.575359'))	64
aeckbauer@hotmail.de	1930-11-16	17 Jun 2019	A+	Becker Stiftung & Co. KG	vitobenthin	292	811-38-3727		Dr. Moritz Oestrovsky		(Decimal('-67.7910625'), Decimal('23.383603'))	637
apacheco@gmail.com	1921-04-26	2021/05/15	AB+	Rocha - ME	alana05	1357	91385270659		Marcela Fogaça	Meeiro	(Decimal('-43.616077'), Decimal('-34.884004'))	227
jtrapp@googlemail.com	1946-12-24	11/06/2021, 00:00:00	B+	Radisch Bolnbach AG	ischacht	248	351-55-1602		Heinz-Gerd Kusch		(Decimal('62.192964'), Decimal('-88.472255'))	518
bianca30@fastwebnet.it		23 Jun 2021	A+	Anguissola-Longhena SPA	alessandrofantozzi	758	MSSPLM73T03A503K		Tullio Donini-Musatti		(Decimal('-36.855614'), Decimal('12.226043'))	621
groettnerernest@aol.de		2025-08-13	A+	Lehmann AG	cichoriussteven	101	944-89-4561		Marzena Bien	Medizininformatiker	(Decimal('20.259920'), Decimal('-148.323155'))	740
wfogaca@hotmail.com	1956-11-08	03 Oct 2023	B-	Caldeira	hribeiro	1631	41659082749		Maria Luísa Pimenta		(Decimal('71.7350895'), Decimal('-91.670664'))	620
yukimatsumoto@hotmail.com		2020/03/06	B-	小林農林有限会社	kaorisuzuki	1528	757-02-8505		木村 洋介		(Decimal('-75.7696275'), Decimal('-138.354931'))	741
iolandazaguri@tim.it	1987-11-20	05/03/2022, 00:00:00	B-	Segni s.r.l.	amatostefani	97	FLRCLR90B68D199E		Agnolo Fermi-Ferragamo	Art gallery manager	(Decimal('5.697818'), Decimal('-144.465106'))	301
rmatsuda@gmail.com	1968-03-20	2019-08-29	O+	佐々木ガス株式会社	nakamuraryosuke	1857	701-91-2130		鈴木 篤司		(Decimal('-10.1948185'), Decimal('55.667778'))	447
dbenton@yahoo.com		12 Mar 2023	O-	Ferguson-Whitney	michelle58	800	795-60-8334		Vanessa Rogers	Sports coach	(Decimal('31.876463'), Decimal('161.158327'))	174
osamumaeda@hotmail.com		06/07/2020, 00:00:00	A-	株式会社池田農林	tomoya15	1969	588-32-7667		山下 英樹	アニメーター	(Decimal('78.4187875'), Decimal('11.402442'))	118
junsato@hotmail.com		2022/01/11	AB+	渡辺食品合同会社	jun97	811	620-41-1882		井上 真綾		(Decimal('37.0777265'), Decimal('164.377074'))	415
iburke@hotmail.com		04/17/2022, 00:00:00	A-	Bennett, Callahan and Silva	nelsonsarah	1560	182-41-6269		Geoffrey Nelson		(Decimal('63.620323'), Decimal('-79.433642'))	507
aylapeixoto@uol.com.br		12/16/2020, 00:00:00	O-	Gomes - EI	zpereira	197	14769235070		Dr. José Pedro Rocha		(Decimal('89.856493'), Decimal('116.784572'))	667
louisreuter@gmail.com	1938-07-04	2023-10-02	O-	Römer	hhermann	1783	298-16-3191		Frau Wilfriede Mohaupt	Drogist	(Decimal('-68.403785'), Decimal('68.049716'))	33
ludovico80@tele2.it	1919-04-01	2024-11-21	O+	Garibaldi, Cilibrasi e Grasso Group	gioachinocasini	858	PLZGSP62B25I950H		Ottavio Doglioni-Columbo	Research officer, government	(Decimal('2.8299575'), Decimal('-78.071969'))	626
christl82@hotmail.de		2020-02-21	B+	Mohaupt KG	tbender	803	530-77-3319		Lia Briemer-Trub	Mechaniker	(Decimal('13.667933'), Decimal('-6.891786'))	160
upeixoto@yahoo.com.br	1978-07-16	02 Jan 2020	O-	Camargo	riosfernanda	1533	70514896230		Natália Ferreira		(Decimal('69.6309755'), Decimal('124.378449'))	539
ryoheisato@gmail.com		2022/08/17	A+	有限会社佐藤情報	naotomaeda	609	782-14-1126		佐藤 直子		(Decimal('14.7063995'), Decimal('-107.471019'))	398
ykraushaar@gmail.com	1957-10-24	2020-04-20	A-	Reinhardt KG	njohann	1141	419-90-3086		José Bachmann-Mielcarek		(Decimal('65.4693285'), Decimal('-48.769532'))	666
adelmo41@tele2.it	1950-12-10	02/01/2021, 00:00:00	AB+	Borroni, Storladi e Stein e figli	temistocledesio	781	GNNTZN80P61M072A		Enzo Filippelli		(Decimal('-50.331892'), Decimal('-66.096968'))	502
ernesto35@libero.it		2019/05/13	A-	Mazzeo SPA	jroccabonella	14	CLLLDC42A71B276J		Pasqual Guicciardini		(Decimal('-34.949170'), Decimal('-9.407908'))	611
hakanweihmann@web.de		25 Apr 2022	A-	Jäntsch Ortmann KG	sonjasaeuberlich	1113	388-59-8294		Dipl.-Ing. Nicolaus Ernst MBA.		(Decimal('-20.8280085'), Decimal('90.744747'))	313
carmela13@yahoo.de	2025-06-12	24 Jan 2020	AB-	Vollbrecht Mitschke AG & Co. OHG	zimmerleonid	1472	555-64-3503		Emilia Geißler-Radisch		(Decimal('62.691121'), Decimal('144.644778'))	152
ashleycampbell@yahoo.com	1916-07-11	25 Aug 2025	AB+	Fernandez-Sanders	cunninghameric	423	794-53-8875		Terry Flores		(Decimal('-3.5550875'), Decimal('112.863928'))	804
hyamada@hotmail.com	1945-10-08	02/22/2021, 00:00:00	O+	合同会社加藤運輸	yokoogawa	1605	303-66-5146		鈴木 学		(Decimal('79.602434'), Decimal('153.326364'))	742
jose-miguelalbuquerque@bol.com.br	2022-01-01	2020-12-31	O+	Porto	sbarbosa	233	87143956228		Felipe Gomes	Balconista	(Decimal('-2.816717'), Decimal('-67.761542'))	216
aumannwilliam@gmx.de	1921-08-05	03/31/2021, 00:00:00	B-	Reichmann	kuehnertedgar	688	247-96-8422		Janus Bloch-Gunpf	Ausbaufacharbeiter	(Decimal('-2.852314'), Decimal('-33.295639'))	250
pzamorani@libero.it		13 Aug 2020	A-	Draghi, Semitecolo e Pratesi s.r.l.	giuliopolesel	718	CRSBRC86T05M353Y		Loretta Muratori		(Decimal('-27.548160'), Decimal('2.043721'))	210
kobayashihiroshi@yahoo.com		2023-09-10	O-	有限会社斉藤鉱業	unakajima	1220	454-79-9794		小林 知実	高等学校教員	(Decimal('-10.5583085'), Decimal('98.151092'))	616
ecastro@ig.com.br		2025/01/06	O+	Brito	valentina05	1406	28340579150		Bárbara Cavalcanti		(Decimal('-62.8850805'), Decimal('44.673863'))	144
sayuriyamaguchi@yahoo.com	1982-06-13	2019-03-15	AB+	株式会社小川農林	rtakahashi	1782	472-23-2300		高橋 あすか	大学教授	(Decimal('66.0692645'), Decimal('-45.469786'))	7
lina41@libero.it	1920-12-21	09/09/2024, 00:00:00	A-	Trapanese-Abba e figli	cherubinipiersanti	1674	FLNLRN36M13E351B		Caterina Canova		(Decimal('32.809043'), Decimal('-49.560495'))	355
saraquel@gmail.com	1997-09-26	11/22/2023, 00:00:00	O-	Farias	brenocardoso	359	59237168446		Erick Silva		(Decimal('-18.862649'), Decimal('-152.568284'))	78
enakamura@gmail.com	1938-12-30	18 Jun 2021	AB-	有限会社前田電気	rika53	1015	077-93-7148		鈴木 加奈		(Decimal('-52.068737'), Decimal('51.874700'))	376
kazuya37@hotmail.com	2022-01-14	2025/08/15	A-	佐々木ガス合同会社	nanamimurakami	194	100-61-7179		長谷川 稔		(Decimal('16.181782'), Decimal('-112.079975'))	607
reifujita@yahoo.com		2025/08/30	AB+	有限会社藤田情報	shimizuyuta	1154	783-40-8083		太田 太一		(Decimal('-82.346676'), Decimal('128.713355'))	530
giadagottardi@alice.it	1928-02-05	2019/01/10	AB-	Bragaglia-Chechi e figli	allegrabenussi	230	SNSPRN86B25F737Z		Adelmo Salieri-Barzini	Management consultant	(Decimal('55.1840365'), Decimal('138.633744'))	656
fbarros@uol.com.br		05/29/2024, 00:00:00	AB+	Rocha	henry69	331	39180576400		Sr. Fernando Nogueira		(Decimal('-13.365926'), Decimal('142.366407'))	309
nnakajima@gmail.com	1991-03-26	2024-12-27	AB+	福田鉱業有限会社	nsato	472	896-92-1659		後藤 加奈		(Decimal('9.993359'), Decimal('-132.172336'))	490
yumikosakamoto@gmail.com	1981-01-17	09/26/2024, 00:00:00	AB+	田中ガス合同会社	hanakoinoue	0	035-43-4787		木村 零	音響技術者	(Decimal('89.7125985'), Decimal('-59.815323'))	456
jkaester@gmail.com	1986-09-10	2023/12/01	AB-	Wilmsen	truppert	251	982-66-3168		Melanie Gotthard		(Decimal('26.910624'), Decimal('-118.218462'))	658
scadutomorena@gmail.com	1985-10-10	07/11/2025, 00:00:00	AB+	Barberini, Monte e Rinaldi SPA	fagianinicolo	1501	LGNLSE96T11M308H		Bianca Bruno		(Decimal('-72.6366145'), Decimal('-98.947513'))	391
livianovais@gmail.com		14 Nov 2021	A-	Cassiano	silveirapedro-henrique	37	27486930196		Dr. Theodoro Leão		(Decimal('60.372745'), Decimal('-62.091384'))	481
alina09@gmail.com	1951-01-09	09/15/2023, 00:00:00	A+	Bosio-Biagiotti SPA	igualtieri	79	LVRMRT02P03C638U		Fiamma Spadafora		(Decimal('14.825175'), Decimal('-126.735395'))	576
salzjovan@googlemail.com		2021/09/14	A+	Eberth Gute KG	heinz-walter04	1745	637-03-4891		Ole Hande-Klemm	Mathematiker	(Decimal('-80.9038035'), Decimal('120.482115'))	765
hilde90@aol.de	1973-04-09	2019-11-08	A-	Graf Hänel KG	ugierschner	2009	563-53-8072		Frau Gönül Wende		(Decimal('80.342204'), Decimal('-95.200662'))	307
heintzeemine@aol.de	2001-09-12	2023-05-16	AB-	Lorch KG	vnette	1187	454-43-7147		Christa Ortmann		(Decimal('31.0353815'), Decimal('27.563530'))	110
clarsen@gmail.com	1993-09-27	05/30/2024, 00:00:00	A-	Matthews Ltd	dakota11	194	526-58-6562		Keith Briggs		(Decimal('59.4228675'), Decimal('70.981580'))	358
hessgotthard@aol.de	2000-02-18	23 Mar 2020	O+	Bachmann Stiftung & Co. KGaA	ismet18	1538	157-32-0011		Dittmar Gutknecht	Drogist	(Decimal('5.4752825'), Decimal('-137.791172'))	391
deborah56@hotmail.com	1970-08-21	2024-11-21	AB+	Alvarez, Jacobson and Davis	cgates	787	267-73-0797		Scott Moyer	Paramedic	(Decimal('-75.146564'), Decimal('-51.443833'))	563
peixotoolivia@uol.com.br	2024-06-11	29 Jun 2020	O+	Mendes	enzonascimento	310	98426105785		Mariana Freitas		(Decimal('24.405567'), Decimal('-157.231373'))	575
ayoshida@hotmail.com		2019/04/14	O+	合同会社斎藤保険	gnakamura	760	749-51-6500		高橋 治		(Decimal('78.853046'), Decimal('14.032570'))	158
debra62@yahoo.com		26 Aug 2021	AB+	Clark-Higgins	juliawood	2027	023-37-4453		Trevor Jimenez		(Decimal('-65.0407665'), Decimal('98.821983'))	315
ana-claramachado@yahoo.com.br		2022/10/12	A-	Albuquerque	ofernandes	528	91758340223		Dra. Zoe da Paz	Estoquista	(Decimal('72.7644555'), Decimal('-68.873375'))	816
marie08@gmail.com	1962-12-08	2019/08/22	O+	Williams, Davis and Griffith	melissarivera	17	427-22-9189		Brian Alvarez		(Decimal('-53.258569'), Decimal('-109.280762'))	503
chelsea17@hotmail.com		26 Feb 2024	A+	Stanley-Doyle	kathleenhaynes	361	790-42-0631		Erica Williams		(Decimal('4.495459'), Decimal('-50.721331'))	55
hayashiyosuke@hotmail.com	2010-10-16	2023/03/23	AB+	林電気合同会社	momoko25	939	389-46-4553		林 裕美子		(Decimal('-85.8650945'), Decimal('-65.017597'))	582
luiz-henrique57@ig.com.br		09 Oct 2023	AB+	da Cruz	lda-cruz	392	31954627025		Caio Vasconcelos		(Decimal('-8.1348065'), Decimal('-42.399669'))	830
ztroest@yahoo.de		24 Jun 2021	AB-	Fliegner Wagenknecht GmbH	sybillegirschner	2009	571-09-0032		Dr. Claudio Ruppersberger B.A.		(Decimal('57.2635005'), Decimal('-55.439420'))	401
wmendonca@yahoo.com.br		2025/04/25	A-	Fonseca Caldeira S/A	beatrizsilveira	686	09843256700		Calebe Costela		(Decimal('-87.7334165'), Decimal('85.400806'))	563
antoniobignardi@gmail.com		2020-07-19	A+	Ortese-Alboni e figli	aria62	400	BGLSBT90L45I143E		Monica Alonzi		(Decimal('50.175012'), Decimal('-175.474708'))	185
duarteluiz-otavio@hotmail.com	1985-08-23	2023/11/25	B+	Costa Ferreira - ME	lpinto	464	51987302621		Rhavi Siqueira	Argumentista	(Decimal('-6.290537'), Decimal('-134.232569'))	243
valerie00@yahoo.com		03/03/2022, 00:00:00	B-	Maldonado and Sons	petersonhoward	1090	868-99-7107		Renee Schwartz		(Decimal('-51.242572'), Decimal('53.863982'))	495
kingmichelle@yahoo.com		06/25/2025, 00:00:00	B-	Brown PLC	valerienewman	2022	232-90-2324		Scott Ware	Outdoor activities/education manager	(Decimal('-56.2313315'), Decimal('-28.574037'))	59
olinke@googlemail.com		2020/08/11	A-	Hornig	scheuermannconrad	709	881-15-8744		Lara Gorlitz B.Eng.		(Decimal('-84.0352825'), Decimal('81.433177'))	49
yheydrich@gmail.com	1933-05-21	03/26/2022, 00:00:00	B+	Lehmann GmbH & Co. OHG	sauerluis	630	708-45-1043		Lotti Vollbrecht B.A.		(Decimal('-34.628715'), Decimal('32.054125'))	792
julia51@hotmail.com	1933-10-11	2025/08/06	AB+	Rocha	silvamariah	807	31546829024		Srta. Ayla Camargo	Ator	(Decimal('83.869324'), Decimal('82.808722'))	43
ryoheiikeda@hotmail.com	1984-07-08	2025-08-08	O-	株式会社山本銀行	satoyosuke	1483	895-84-8300		後藤 加奈	モデル	(Decimal('20.8036985'), Decimal('-141.527554'))	430
billy92@yahoo.com		08/31/2025, 00:00:00	B-	Chandler-Fowler	ashley61	1525	325-62-4751		Jonathan Gay		(Decimal('68.7222375'), Decimal('32.130366'))	666
albuquerquenicolas@bol.com.br		2022-12-17	B-	Novaes	enunes	866	45617890220		Miguel Pacheco		(Decimal('-50.5272405'), Decimal('-130.628444'))	236
haruka90@hotmail.com	1937-07-16	2019-04-29	AB-	加藤食品株式会社	vinoue	1461	741-89-5335		加藤 香織		(Decimal('66.020130'), Decimal('178.708227'))	296
vgottardi@tiscali.it		2021/04/04	B+	Cortese s.r.l.	marissapalombi	272	GNVMNC27H07L544Z		Franco Babato		(Decimal('-16.2119995'), Decimal('23.652065'))	500
gabriella06@outlook.com		2019-06-11	AB+	Valier, Catenazzi e Goldoni e figli	nadia65	770	SREGBL18H18H015S		Arnulfo Verga	Water engineer	(Decimal('-12.549901'), Decimal('-26.024193'))	230
arthur52@uol.com.br		23 Jun 2019	O-	Barros	montenegromaria-eduarda	2049	06751498357		Dr. Gabriel Peixoto		(Decimal('45.2420025'), Decimal('-100.930809'))	616
wilsondiana@gmail.com		07/29/2025, 00:00:00	A-	Long, Savage and Monroe	ericthomas	1406	054-76-0765		Michael Wilson		(Decimal('-80.995370'), Decimal('139.906863'))	285
irena17@gmx.de	1971-07-26	30 Sep 2024	O+	Drewes	christa-mariahaenel	618	586-79-0390		Nils Seidel		(Decimal('4.900133'), Decimal('6.709344'))	657
tonikarge@gmail.com	1974-10-15	16 Apr 2022	A-	Zahn	reginenohlmans	1315	477-91-2148		Karl-Werner Bähr B.Eng.		(Decimal('-65.894363'), Decimal('59.754815'))	685
davisalbert@yahoo.com	2010-05-01	2025/03/28	A-	Owens, Scott and Carter	jonesdonald	1963	124-92-0821		Lisa Jones		(Decimal('2.7957885'), Decimal('-102.574180'))	560
burkhardtbarth@gmail.com	1990-05-05	12 Feb 2023	B-	Nohlmans Köhler e.V.	nadine05	1097	256-98-7647		Otmar Neureuther-Heß	Chemikant	(Decimal('-0.2693705'), Decimal('121.944979'))	169
xbaehr@hotmail.de	1983-10-24	2021-04-04	A+	Lange Junken Stiftung & Co. KG	geraldine15	885	644-48-2523		Zlatko Jäntsch-Kensy		(Decimal('35.350688'), Decimal('-13.317329'))	687
kohledwin@hotmail.de	1971-01-22	31 Jul 2019	B+	Zirme	holstensusana	386	131-65-4903		Leonhard Jüttner		(Decimal('-60.489463'), Decimal('-19.521874'))	128
barbarabellucci@gmail.com	1958-06-01	2019-09-23	A-	Cerutti-Praga SPA	ecapuana	1970	CLLSLO08D18D200X		Ettore Sonnino		(Decimal('-82.7629915'), Decimal('146.488686'))	518
psilva@hotmail.com		06/03/2020, 00:00:00	O-	Azevedo e Filhos	pedro-lucassales	789	17349560893		João Felipe Ramos		(Decimal('21.893578'), Decimal('-47.772312'))	286
martinezelizabeth@yahoo.com		01/12/2021, 00:00:00	A+	Salinas Ltd	douglasholland	640	180-21-3890		Jessica Padilla		(Decimal('44.3005855'), Decimal('73.690393'))	169
heitor03@ig.com.br		01/27/2019, 00:00:00	O-	Camargo Castro S/A	freitasbenicio	1867	08753146948		Luigi Martins	Roteirista	(Decimal('-65.702283'), Decimal('-92.702290'))	679
maria-liz71@gmail.com		2020/12/27	B-	Ferreira S/A	ialmeida	630	50196723868		Luna Rocha		(Decimal('-27.467623'), Decimal('76.131594'))	447
